"memberid","activityid"
8341,1002
3166,5926
8363,10079
12681,3924
2362,14816
10238,9395
8815,13070
4815,12863
10551,973
11988,2743
11122,14866
5790,7279
14442,6829
8344,5173
14757,1395
5572,6888
3168,3285
10009,2335
165,13386
11352,14652
1786,8013
14681,14218
513,8815
10231,10305
14980,8129
4417,10133
9627,13392
9820,12210
2059,7918
11163,528
4272,2199
3137,12822
7211,14989
11655,4369
115,841
14492,4908
13777,6825
11812,7142
14466,5569
2419,3053
7405,11853
4002,9468
5324,14107
6561,11112
9210,5473
3073,6813
9233,14590
10476,10763
550,1176
1128,5576
3629,3866
12347,13006
5451,8295
6702,9984
4625,7325
6284,10303
10851,5899
14060,8813
4299,4297
6374,4402
10191,751
9991,672
11572,2040
6694,10659
8624,10814
5457,11005
13519,14711
10982,14459
11838,79
1401,13241
12440,12223
484,5402
11952,1773
9008,12614
13657,13595
8467,2021
7209,7213
3215,5390
7255,3198
13959,1680
2923,545
10038,6747
9834,3969
13112,11212
14668,3445
1365,14506
845,8040
5472,3094
12855,11682
4862,5309
13506,11274
1588,1579
11589,939
10678,660
14330,14881
11586,2954
10367,6313
5141,10402
10141,11392
13803,3359
9903,174
12985,9255
10157,7494
7369,11703
14300,12342
6167,1751
12169,4244
5028,5688
9001,13714
780,5841
9297,1700
3300,14505
3399,10432
3972,1158
4,11104
10051,14979
6077,2083
14483,4059
13017,3710
8666,12725
10511,1152
99,2616
5603,12567
8808,1911
7399,2774
3642,3321
11849,9348
14249,14624
8819,3571
13758,12222
10744,9779
11475,2928
2027,8818
10807,2733
5808,14746
11393,14093
2502,2601
1457,15000
4153,2822
13550,3639
820,13345
12662,13974
2273,3889
36,5543
8723,10631
4259,9349
1629,889
6662,9660
7971,12340
2503,1623
10812,13340
1483,12118
582,13827
7601,4608
2046,12265
3211,12065
5719,10635
12904,14641
8023,3873
6605,4718
6033,3014
8465,1765
3522,1239
14851,14427
8650,1566
10026,10198
10815,7839
13950,3763
8928,5348
14664,8574
5989,11126
13866,894
7383,2669
9459,5085
6822,2052
7043,10172
13871,7955
3976,14571
9857,763
5138,5828
391,11528
7801,6805
2293,6769
10403,6457
2259,9337
7380,11399
596,5406
9997,10500
3454,9776
5470,4781
969,14219
1062,2418
6194,852
7454,3020
10354,1066
14781,14439
11670,12998
4349,2672
5020,3793
11623,5084
11749,1794
5062,4562
13439,10508
5936,6667
4561,418
11599,9132
9647,5398
5031,7013
1699,11217
6461,2228
675,14788
6984,11424
41,13568
8599,6117
7377,10821
8075,12282
11816,10558
6797,7844
328,761
4821,8195
7471,3203
8262,14327
8701,2206
3610,987
4722,9342
13565,14228
2082,5137
4734,6559
7230,7591
4965,4533
13064,7605
4579,177
10758,12246
6775,1001
8867,8738
2452,11355
8952,3517
8918,1640
3135,9153
1294,5447
9029,802
10337,5842
1565,10101
1102,7643
5025,13523
1586,12115
6148,3191
7408,11783
11055,13262
105,7129
11074,3248
3777,10353
2804,12969
14570,13928
3308,839
8915,13955
11934,10823
11869,7077
13254,8254
2509,5568
1528,679
2134,7682
7163,8558
1913,8871
3568,11059
13110,13352
516,13198
13268,13925
3318,9037
4459,6303
4015,6890
14166,10611
7836,9278
1000,4442
4126,190
2153,4890
6983,13404
10434,11924
13393,13863
13228,12890
11500,9042
7616,9329
12622,2315
12463,14059
3999,11869
2793,4819
6608,11314
6,13130
6029,1275
5907,12211
8587,4449
3618,14722
10707,4727
1548,6033
6297,8692
8245,2263
7572,9282
1144,11405
14262,13943
3352,14137
7651,14966
7489,12289
6319,6469
12602,10417
3839,3143
5217,4069
5055,10986
3841,3759
14642,433
939,11909
7452,9827
905,2648
5395,12430
11792,14691
1614,997
12141,12488
10527,4509
13358,14850
361,14403
9292,2753
10071,13909
6617,2026
2403,1100
10576,3773
2497,9605
2176,13356
7782,1994
13362,11056
12830,7106
950,8439
11793,11848
2023,9004
4963,2281
5291,10825
12345,4610
2251,3813
13897,1270
4838,6935
7045,7107
120,5496
2972,12460
7040,6376
10862,11423
14397,3587
9313,5429
2202,9516
12584,8479
3114,7152
825,2446
6136,14143
9523,14647
9213,4760
4970,13486
11405,3380
13014,8405
10504,11263
11901,1278
7617,5236
14905,6661
11782,2361
2506,2323
10578,8467
1467,485
9155,6270
12020,6945
4321,4874
12309,7703
10720,7533
7062,10985
13710,12244
8888,6628
6091,1919
4907,11294
14545,2992
5535,3457
8824,1705
3706,12995
7548,4684
10074,446
8951,6342
2885,7623
14749,8463
14372,1544
7016,10454
4154,8260
14612,10121
1303,1459
6406,8325
4875,1672
13225,12852
4996,6450
11123,483
1447,5061
718,14049
4023,2770
3076,1831
1296,3586
12145,12212
12102,13782
563,2668
8054,2501
7769,11587
1704,9854
8521,5179
7397,7622
9181,11936
461,1223
5833,13929
6490,5471
12712,6626
6312,3252
8379,7468
11237,6863
2052,6874
8207,364
8425,6974
2774,10855
9385,4409
14852,5790
7991,8413
7130,6646
10192,437
4428,7813
13787,13155
14082,2555
3235,1685
7883,10707
4690,12585
11857,4664
332,5486
14722,7451
10079,14031
11006,6167
13077,13520
3951,2084
6446,11101
4617,10109
7560,9208
14819,1327
13648,13976
2025,7386
3190,11792
10050,3068
14197,1784
1420,7125
12023,10608
873,8547
7586,1225
3684,10694
4343,653
5368,13463
13437,1454
6935,1150
3299,3097
14895,4963
13149,5339
14956,8108
12946,1188
2485,8908
13049,3465
9683,13133
660,7233
5777,14433
9912,9211
7778,9243
3018,7908
6179,8536
5798,13291
13509,7733
9610,851
5528,1418
8226,10728
7069,4362
11480,9254
2672,1345
12305,4900
11336,5150
2036,6683
1744,4367
2550,12347
5832,11304
8846,5902
9779,6807
11132,13100
12555,8414
9321,6695
541,6422
12793,12100
113,688
14815,7462
7776,7631
3418,10439
12901,14831
555,5872
7994,712
12874,9743
14323,14893
7144,2852
1888,4989
5853,7310
7058,5562
7665,4396
5100,7836
10702,374
8700,5424
14335,4009
1799,2805
8795,10703
14133,5533
11372,8219
10893,14817
