"id","activityid","date"
2002,12281,"2020-05-04"
2,4987,"2017-06-03"
3,3375,"2023-09-13"
4,14816,"2018-03-20"
5,6204,"2017-10-22"
6,6908,"2017-02-23"
7,12497,"2022-04-26"
8,11264,"2023-04-24"
9,8723,"2024-02-17"
10,14885,"2024-10-18"
11,13082,"2019-11-08"
12,12808,"2018-01-23"
13,12351,"2022-11-25"
14,3454,"2023-09-26"
15,839,"2021-02-01"
16,10471,"2023-08-02"
17,6925,"2021-12-06"
18,995,"2022-01-03"
19,11017,"2018-05-04"
20,7000,"2023-10-28"
21,5576,"2020-08-14"
22,3184,"2019-03-23"
23,1865,"2024-01-06"
24,13638,"2018-12-11"
25,13783,"2021-04-14"
26,12981,"2021-11-12"
27,14044,"2018-02-01"
28,9263,"2018-10-14"
29,4022,"2020-04-05"
30,2307,"2020-04-09"
31,10970,"2021-02-07"
32,2965,"2023-08-24"
33,5030,"2023-07-17"
34,3907,"2018-07-27"
35,5372,"2020-05-04"
36,2809,"2017-10-16"
37,895,"2018-06-20"
38,2998,"2020-10-16"
39,13621,"2019-07-06"
40,521,"2021-06-03"
41,10558,"2018-03-10"
42,5006,"2023-10-08"
43,3932,"2019-06-07"
44,9155,"2020-12-30"
45,9704,"2017-01-29"
46,973,"2021-05-15"
47,1374,"2019-09-25"
48,631,"2020-12-09"
49,10335,"2022-11-28"
50,10615,"2019-07-23"
51,3838,"2020-12-16"
52,2907,"2023-10-13"
53,14170,"2017-04-04"
54,8580,"2020-02-05"
55,5240,"2023-07-17"
56,4917,"2021-12-01"
57,9716,"2022-12-27"
58,2696,"2023-08-31"
59,10516,"2022-04-27"
60,14918,"2019-09-10"
61,284,"2020-05-04"
62,8109,"2023-09-09"
63,2066,"2017-03-17"
64,11688,"2023-05-05"
65,12722,"2021-09-08"
66,674,"2022-08-13"
67,10579,"2018-06-15"
68,14146,"2024-11-12"
69,5825,"2024-12-02"
70,5303,"2021-12-23"
71,7925,"2021-08-17"
72,8386,"2023-02-11"
73,6602,"2024-02-06"
74,13342,"2019-06-14"
75,6158,"2023-06-25"
76,11682,"2020-07-02"
77,180,"2019-09-19"
78,3143,"2024-05-10"
79,3528,"2021-02-21"
80,5931,"2020-03-08"
81,3679,"2023-08-11"
82,6119,"2024-12-01"
83,9993,"2019-09-03"
84,3254,"2018-12-03"
85,13043,"2018-05-20"
86,1452,"2021-02-08"
87,5339,"2021-01-22"
88,11583,"2018-06-27"
89,6571,"2018-02-27"
90,6446,"2022-09-19"
91,9281,"2023-10-25"
92,10107,"2020-04-23"
93,9614,"2019-08-13"
94,11881,"2018-12-15"
95,8722,"2021-09-15"
96,10444,"2020-01-03"
97,11692,"2020-01-23"
98,7742,"2022-05-27"
99,10190,"2019-11-02"
100,3295,"2023-11-05"
101,506,"2018-11-19"
102,70,"2024-07-31"
103,13753,"2020-08-07"
104,4230,"2018-03-15"
105,5670,"2024-10-02"
106,2777,"2018-01-06"
107,3823,"2019-09-30"
108,2911,"2020-06-23"
109,5061,"2023-02-14"
110,6384,"2018-12-12"
111,14440,"2023-09-19"
112,6546,"2020-11-03"
113,9620,"2024-11-15"
114,13098,"2018-03-01"
115,9039,"2018-12-22"
116,11,"2019-05-14"
117,937,"2023-05-09"
118,14448,"2024-05-16"
119,718,"2019-11-06"
120,2315,"2020-09-28"
121,2306,"2021-08-05"
122,9164,"2020-12-31"
123,6236,"2017-09-17"
124,10513,"2023-12-17"
125,6405,"2017-07-12"
126,2277,"2019-07-04"
127,12409,"2020-02-14"
128,3759,"2023-06-08"
129,4328,"2019-02-21"
130,2171,"2019-09-01"
131,9365,"2017-07-25"
132,13445,"2023-06-24"
133,717,"2024-05-28"
134,2469,"2018-09-15"
135,2123,"2019-06-13"
136,2996,"2020-03-10"
137,9966,"2023-02-08"
138,7012,"2023-02-26"
139,10929,"2017-03-11"
140,14802,"2023-09-20"
141,13998,"2020-05-12"
142,8366,"2020-07-08"
143,13253,"2021-06-15"
144,4169,"2019-03-17"
145,9048,"2018-04-01"
146,13943,"2024-06-16"
147,945,"2019-04-06"
148,4412,"2018-06-04"
149,11855,"2018-11-12"
150,6231,"2024-05-27"
151,1224,"2017-07-31"
152,2339,"2018-04-11"
153,9420,"2018-10-31"
154,5818,"2017-10-26"
155,2845,"2018-12-26"
156,4655,"2021-05-03"
157,9790,"2021-05-24"
158,11439,"2023-09-08"
159,14213,"2022-01-28"
160,13517,"2019-09-04"
161,9386,"2021-03-22"
162,12180,"2021-10-24"
163,2835,"2018-02-07"
164,6479,"2022-05-25"
165,5831,"2017-07-02"
166,814,"2017-02-04"
167,9282,"2024-01-26"
168,2711,"2019-01-24"
169,13446,"2022-04-25"
170,5408,"2017-04-12"
171,14690,"2020-06-25"
172,6193,"2019-01-09"
173,3009,"2021-12-31"
174,1677,"2022-10-01"
175,6127,"2017-07-06"
176,14956,"2018-08-17"
177,1391,"2023-06-13"
178,10755,"2023-02-17"
179,7105,"2018-09-21"
180,10246,"2023-08-16"
181,12049,"2019-03-05"
182,8194,"2023-02-08"
183,13688,"2024-11-03"
184,11552,"2021-11-30"
185,3461,"2022-11-10"
186,790,"2021-05-15"
187,13744,"2020-12-26"
188,13278,"2022-03-27"
189,11426,"2018-07-06"
190,6758,"2019-05-22"
191,7759,"2021-11-28"
192,13507,"2020-01-26"
193,5716,"2018-08-01"
194,1828,"2017-05-13"
195,722,"2024-01-02"
196,11076,"2022-08-23"
197,5436,"2021-04-08"
198,2571,"2017-05-12"
199,4514,"2022-07-29"
200,7069,"2021-10-01"
201,10598,"2021-08-22"
202,9529,"2019-05-12"
203,7178,"2019-01-21"
204,1218,"2018-10-14"
205,14581,"2021-04-15"
206,1083,"2019-02-07"
207,4111,"2018-01-23"
208,10193,"2020-09-25"
209,3187,"2019-02-05"
210,4078,"2019-02-28"
211,14052,"2022-02-03"
212,5231,"2024-08-07"
213,3006,"2020-06-18"
214,12436,"2018-10-29"
215,8600,"2021-07-14"
216,9217,"2022-10-14"
217,6085,"2024-10-29"
218,3637,"2023-02-07"
219,13283,"2020-04-15"
220,552,"2018-04-01"
221,14015,"2018-12-01"
222,11176,"2019-02-01"
223,8822,"2019-09-25"
224,8611,"2020-10-23"
225,3141,"2022-02-18"
226,4795,"2022-10-28"
227,1648,"2020-02-09"
228,6496,"2023-11-04"
229,7635,"2024-01-09"
230,4026,"2019-08-03"
231,14841,"2020-05-20"
232,12019,"2018-05-20"
233,7122,"2018-11-11"
234,12472,"2018-05-19"
235,11330,"2024-08-05"
236,12843,"2023-11-24"
237,11222,"2022-12-17"
238,12898,"2024-06-18"
239,12892,"2019-10-15"
240,2285,"2024-04-11"
241,7861,"2019-09-05"
242,5907,"2023-12-22"
243,13369,"2020-05-04"
244,6537,"2023-12-27"
245,4831,"2019-06-22"
246,11955,"2024-02-06"
247,14824,"2018-01-26"
248,11856,"2017-04-14"
249,3484,"2022-10-01"
250,9271,"2022-11-02"
251,2126,"2021-09-06"
252,11494,"2020-04-11"
253,5634,"2020-03-28"
254,1823,"2021-05-27"
255,12310,"2021-01-02"
256,2412,"2018-03-06"
257,9521,"2023-09-09"
258,7151,"2024-03-21"
259,7231,"2019-01-08"
260,8726,"2018-05-25"
261,7266,"2017-10-13"
262,4538,"2021-07-23"
263,12068,"2023-01-16"
264,13447,"2022-10-15"
265,7733,"2021-10-14"
266,442,"2023-10-14"
267,14711,"2018-04-03"
268,13524,"2020-05-07"
269,1446,"2018-07-10"
270,10464,"2019-11-23"
271,12536,"2024-03-13"
272,8942,"2021-12-06"
273,9414,"2023-02-06"
274,10808,"2017-11-28"
275,1390,"2023-02-06"
276,1762,"2020-09-13"
277,13404,"2022-02-06"
278,12867,"2019-05-20"
279,8305,"2019-04-29"
280,7763,"2024-01-22"
281,2481,"2020-01-12"
282,4632,"2020-11-19"
283,5894,"2019-08-01"
284,11346,"2017-05-03"
285,14544,"2023-04-22"
286,7869,"2017-07-24"
287,746,"2022-11-29"
288,2082,"2017-12-07"
289,11037,"2019-06-09"
290,4305,"2019-02-12"
291,11919,"2023-04-23"
292,8177,"2017-12-09"
293,972,"2021-01-16"
294,10923,"2018-12-05"
295,11159,"2021-08-18"
296,12628,"2024-05-06"
297,4081,"2018-04-09"
298,11234,"2017-10-23"
299,6872,"2021-12-11"
300,11685,"2022-11-04"
301,7269,"2017-02-03"
302,7844,"2019-08-16"
303,4456,"2018-10-14"
304,9340,"2022-08-11"
305,14296,"2024-05-14"
306,10297,"2018-02-24"
307,10379,"2017-08-27"
308,602,"2017-03-15"
309,10015,"2020-07-21"
310,12147,"2024-06-14"
311,820,"2021-09-21"
312,14023,"2022-07-05"
313,5130,"2020-07-17"
314,640,"2023-10-13"
315,14331,"2022-01-13"
316,12856,"2021-01-13"
317,12994,"2021-08-02"
318,11245,"2020-12-15"
319,4816,"2024-03-14"
320,11667,"2020-02-01"
321,11444,"2019-03-12"
322,3729,"2020-01-15"
323,5175,"2017-06-27"
324,585,"2023-05-18"
325,319,"2024-03-20"
326,4257,"2024-05-29"
327,4856,"2020-08-09"
328,11999,"2024-10-25"
329,2606,"2021-02-12"
330,14150,"2019-04-10"
331,12427,"2020-07-19"
332,8103,"2024-11-13"
333,6521,"2021-03-17"
334,4587,"2017-05-11"
335,2089,"2019-06-10"
336,1113,"2021-03-14"
337,7662,"2022-04-27"
338,12677,"2018-06-26"
339,10590,"2018-11-04"
340,2280,"2020-05-16"
341,8201,"2021-11-13"
342,639,"2022-12-09"
343,10302,"2021-12-01"
344,1125,"2023-06-02"
345,13300,"2021-09-12"
346,5954,"2020-11-08"
347,4071,"2024-08-09"
348,2886,"2017-03-29"
349,5304,"2017-03-01"
350,11928,"2021-12-24"
351,3603,"2023-12-28"
352,4838,"2021-03-25"
353,5077,"2024-09-01"
354,10704,"2018-05-25"
355,8062,"2018-10-08"
356,5355,"2024-07-03"
357,6245,"2017-11-22"
358,4762,"2018-08-06"
359,10479,"2017-06-08"
360,1969,"2020-12-28"
361,4853,"2017-08-03"
362,1056,"2023-03-19"
363,7841,"2022-08-15"
364,12544,"2017-10-16"
365,12248,"2023-02-10"
